anio	descripcion	titular	fecha	cartel	presidente
2010	Asesinato del candidato a gobernador de Tamaulipas, Rodolfo Torre Cantú. El primer candidato a gobernador asesinado por el narco.	Asesinan al candidato del PRI a gobernador de Tamaulipas	28 de junio de 2010	nacional	
2010	Estalla un coche bomba en Ciudad Juárez, Chihuahua. Mueren tres personas.	Coche bomba en Juárez	16 de julio de 2010	nacional	
2010	17 personas mueren y nueve más son heridas cuando un grupo armado ataca una fiesta de cumpleaños en Torreón, Coahuila. Los autores eran internos del Centro de Readaptación Social de la ciudad vecina de Gómez Palacio, Durango, quienes salían para cometer crímenes y después volver al penal.	Mueren 17 en un ataque a una fiesta en Torreón	18 de julio de 2010	nacional	
2010	Masacre de 72 migrantes en San Fernando, Tamaulipas.	Masacre de 72 migrantes en Tamaulipas	23 de agosto de 2010	nacional	
2011	Asesinato del agente del ICE (Servicio de Inmigración y Control de Aduanas de Estados Unidos) Jaime Zapata, en una carretera de San Luis Potosí. Muere con un arma del Operativo 'Rápido y Furioso'.	Asesinan a un agente de aduanas de EU en San Luis Potosí	15 de febrero de 2011	nacional	
2011	En Allende, Coahuila, grupos armados atacan a la población. La primera versión indica que al menos 300 personas desaparecieron. En 2014 las autoridades sólo reconocieron 28 desapariciones.	Desapariciones en Coahuila	18 de marzo de 2011	nacional	
2011	Homicidio de Juan Francisco Sicilia, hijo del poeta Javier Sicilia. Así nace el Movimiento por la Paz, que reúne a víctimas de la violencia que exigen justicia.	Homicidio del hijo de Javier Sicilia	27 de marzo de 2011	nacional	
2011	Segunda masacre de San Fernando, Tamaulipas. Hallan más de 200 cadáveres	Hallan 200 cadávares en San Fernando	6 de abril de 2011	nacional	
2011	Felipe Calderón se reúne con el Movimiento por la Paz. Pide perdón a las víctimas.	Reunión de Calderón con el Movimiento por la Paz	23 de junio de 2011	nacional	
2011	Un grupo armado asesina a balazos a por lo menos 20 personas y hiere a otras cinco al atacar el bar Sabino Gordo, localizado en Monterrey, Nuevo León.	Ataque al bar Sabino Gordo de Monterrey	8 de julio de 2011	nacional	
2011	Atentado en el Casino Royale de Monterrey. Fallecen 52 personas.	Atentado en el Casino Royale de Monterrey	25 de agosto de 2011	nacional	
2011	35 cadáveres fueron arrojados frente a un centro comercial en Boca del Río, en la zona turística de Veracruz.	Arrojan 35 cadáveres en Boca del Río	20 de septiembre de 2011	nacional	
2011	Operativo Conjunto Veracruz.	Operativo Conjunto Veracruz	4 de octubre de 2011	nacional	
2011	Operativo Guerrero Seguro.	Operativo Guerrero Seguro	6 de octubre de 2011	nacional	
2011	Fallece José Francisco Blake Mora, secretario de Gobernación, en un accidente aéreo.	Muere José Francisco Blake Mora	11 de noviembre de 2011	nacional	
2011	26 cuerpos son abandonados en las inmediaciones de la glorieta conocida como los' Arcos del Milenio', en Guadalajara, Jalisco	Abandonan 26 cuerpos en Guadalajara	24 de noviembre de 2011	nacional	
2011	En 10 meses hallan 300 cuerpos en fosas clandestinas de Durango.	En 10 meses hayan 300 cuerpos en fosas de Durango	2011	nacional	
2012	Riña y fuga en el penal de Apodaca, Nuevo León. Se escapan 30 reos de alta peligrosidad.	Se fugan 30 reos de un penal de NL	19 de febrero de 2012	nacional	FCH
2012	Operativo Conjunto Morelos.	Operativo Conjunto Morelos	9 de mayo de 2012	nacional	FCH
2012	18 cuerpos son abandonados en dos camionetas en Jalisco.	Abandonan 18 cuerpos en Jalisco	10 de mayo de 2012	nacional	FCH
2012	49 cuerpos decapitados y sin extremidades fueron abandonados en una comunidad del municipio de Cadereyta, ubicado al oriente de la ciudad de Monterrey.	Abanonan 49 cuerpos decapitados en NL	13 de mayo de 2012	nacional	FCH
2012	Asesinato de José Eduardo Moreira, hijo del exgobernador de Coahuila, Humberto Moreira y sobrino del gobernador en turno, Rubén Moreira. Lo matan tras el asesinato del sobrino del 'Z-40', Miguel Ángel Treviño, quien muere en un operativo en Piedras Negras, Coahuila.	Asesinan al hijo del exgobernador de Coahuila	3 de octubre de 2012	nacional	FCH
2012	El presidente Enrique Peña Nieto presenta una estrategia de seguridad en la que anuncia la asignación de 10 mil elementos para la creación de la Gendarmería Nacional, un plan de Prevención del delito y la división del territorio en cinco zonas para implementar la política de seguridad.	Peña Nieto presenta estrategia de seguridad	17 de diciembre de 2012	nacional	
2013	Se publica el decreto que desaparece la Secretaría de Seguridad Pública federal y da paso a que la Secretaría de Gobernación se encargue de formular y ejecutar las políticas, programas y acciones para garantizar la seguridad pública del país.	Desaparece la Secretaría de Seguridad Pública	3 de enero de 2013	nacional	
2013	Nace el movimiento de autodefensas en Michoacán para luchar contra el crimen organizado en la región.	Nacen las autodefensas	24 de febrero de 2013	nacional	
2013	Muere en prisión el General Jesús Gutiérrez Rebollo, el primer general en ser juzgado por sus vínculos y protección al narcotráfico.	Muere en prisión el primer general condenado por narco	19 de diciembre de 2013	nacional	
2014	El Gobierno Federal asume la seguridad en la región de Tierra Caliente. Se acuerda el desarme de grupos de autodefensa.	Se firma el convenio Apoyo Federal a la Seguridad Michoacán	13 de enero de 2014	nacional	
2014	El extitular de la Profeco, Alfredo Castillo, es nombrado comisionado especial en Michoacán. Será el encargado del desarme de las autodefensas y de unirlos a la Policía Rural.	Alfredo Castillo, nuevo comisionado de seguridad en Michoacán	14 de enero de 2014	nacional	
2014	El exgobernador interino de Michoacán, Jesús Reyna, es detenido acusado de presuntos nexos con el crimen organizado, específicamente con 'Los Caballeros Templarios'.	Detención del exgobernador de Michoacán, Jesús Reyna	4 de abril de 2014	nacional	
2014	Militares ejecutan a 22 personas en Tlatlaya, Estado de México.	Militares ejecutan a 22 en Tlatlaya	30 de junio de 2014	nacional	
2014	Por orden de un grupo criminal, policías municipales de Iguala atacan a estudiantes de la Escuela Normal Rural de Ayotzinapa. 43 normalistas desaparecen y hay siete fallecidos, de los cuales tres son estudiantes.	Desaparecen 43 normalistas en Iguala	26 de septiembre de 2014	nacional	
2014	El presidente Enrique Peña Nieto presenta un decálogo por la seguridad y la justicia en respuesta a a la desaparición de 43 estudiantes en Guerrero. Anuncia una iniciativa para crear el Mando único policial, establecer la clave única de identidad o una reforma para que el gobierno federal tome el control de la seguridad en los municipios cuyas autoridaded están bajo sospecha de estar coludidas con el crimen organizado.	Peña Nieto presenta decálogo por la seguridad	28 de noviembre de 2014	nacional	
2014	El gobierno federal presenta el Plan Nuevo Guerrero para reactivar el turismo y el desarrollo del estado.	Inicia Plan Nuevo Guerrero	4 de diciembre de 2014	nacional	
2014	El secretario de Gobernación, Miguel Ángel Osorio Chong, anuncia el plan especial de seguridad para la región de Tierra Caliente, que abarca 36 municipios de Guerrero, Michoacán, Estado de México y Morelos.	Inicia Operativo Especial Tierra Caliente	4 de diciembre de 2014	nacional	
1969	Richard Nixon, presidente de EU, pone en marcha la operación Intercepción en la frontera México-EU, para frenar el flujo de drogas.	Operación Intercepción en la frontera México-EU	1969	internacional	
1978	En Colombia, inicia la Operación Fulminante para destruir cultivos de mariguana.	Inicia en Colombia la Operación Fulminante	1978	internacional	
1982	El presidente de EU, Ronald Reagan, anuncia la 'Guerra contra las drogas', lo que provoca el cierre de la Ruta del Caribe, a través de Florida. Se abre la ruta a través de la frontera con México.	Ronald Raegan anuncia la 'Guerra contra las drogas'	24 de junio de 1982	internacional	
1984	Asesinato de Rodrigo Lara Bonilla, Ministro de Justicia de Colombia. Había denunciado vínculos entre narcotraficantes y políticos del país; en particular del cártel de Medellín, liderado por Pablo Escobar. Con este hecho, inicia una guerra entre el Estado y esa organización criminal.	Asesinan al Ministro de Justicia de Colombia	30 de abril de 1984	internacional	
1986	Ronald Reagan promulga la Directiva de Seguridad Nacional 221 que define el tráfico internacional de drogas como una amenaza a la seguridad nacional de Estados Unidos.	EU define el tráfico de drogas como amenaza a la seguridad nacional	1986	internacional	
1986	El gobierno de EU inicia en Bolivia la Operación 'Blast Furnance' ('Operación Alto Horno') para destruir sitios en los que se procesa cocaína.	EU destruye en Bolivia laboratorios de coca	1986	internacional	
1987	El gobierno de EU inicia la Operación 'Snowcap' ('Operación Corona de Nieve') en América Latina contra el tráfico y producción de cocaína. La más grande que ese país había hecho en la región hasta esa fecha.	EU inicia una operación en AL contra el tráfico de cocaína	1987	internacional	
1988	Convención de la ONU contra el Tráfico Ilícito de Estupefacientes.	Convención de la ONU contra el Tráfico Ilícito	1988	internacional	
1989	Estados Unidos lanza la Iniciativa Andina en Colombia, Perú y Bolivia para reducir el tráfico y producción de cocaína.	EU lanza la Iniciativa Andina	1989	internacional	
1990	Firma del Acuerdo México- Estados Unidos contra el narcotráfico y la farmacodependencia.	Acuerdo entre México y EU contra el Narcotráfico	1990	internacional	
1990	Inicia construcción del muro fronterizo México-EU en el sector San Diego. Se amplió por 22.5 kilómetros y fue parte del programa 'Prevention Through Deterrance' ('Prevención mediante la disuasión').	Inicia construcción del muro fronterizo México-EU	1990	internacional	
1991	Pablo Escobar Gaviria, el líder del Cártel de Medellín, se entrega a la justicia colombiana. Negocia su entrega a cambio de no ser extraditado a Estados Unidos.	Pablo Escobar se entrega a la justicia Colombiana	19 de junio de 1991	internacional	
1992	Pablo Escobar se fuga de la prisión 'La Catedral'.	Pablo Escobar se fuga de prisión	22 de julio de 1992	internacional	
1993	Pablo Escobar, líder del Cártel de Medellín, muere a tiros en una persecución. Marca el fin del Cártel de Medellín.	Muere a tiros Pablo Escobar	2 de diciembre de 1993	internacional	
1994	El presidente de EU, Bill Clinton, firma la ley para prohibir la venta de armas automáticas y de asalto.	Clinton prohibe la venta de armas automáticas	1994	internacional	
1995	Captura de Gilberto Rodríguez Orejuela, líder del cártel de Cali de Colombia. Esta detención marca el fin de esa organización.	Capturan al líder del Cartel de Cali	9 de junio de 1995	internacional	
1996	Se extiende una barrera adicional al muro fronterizo México-EU con la promulgación de la Ley de Responsabilidad de Inmigración.	Se extiende el muro fronterizo entre México y EU	1996	internacional	
1998	Se construye en Texas el muro virtual de alta tecnología, llamado 'Integrated Surveillance and Intelligence System' (ISIS).	Se construye en Texas un muro virtual de alta tecnología	1998	internacional	
2000	Estados Unidos y Colombia firman el Plan Colombia, con el que buscan una estrategia contra las organizaciones de narcotráfico de la región.	Se firma el Plan colombia	2000	internacional	EZP
2001	Atentado terrorista contra las Torres Gemelas en Nueva York. Creación del Departamento de Seguridad Interna y de mayores controles en la frontera con México.	Atentado a las Torres Gemelas de NY	2001	internacional	
2004	El Presidente de EU, George W. Bush, deroga la disposición legal que prohibe la venta de armas automáticas y de asalto.	George W. Bush deroga la prohibición de venta de armas automáticas	2004	internacional	
2007	Detención de Diego León Montoya Sánchez, líder del Cártel del Norte del Valle de Colombia. Su captura marca la caída de esa organización criminal.	Detienen al líder del Cartel del Norte del Valle de Colombia	10 de septiembre de 2007	internacional	
2009	La Oficina de National Drug Control Policy (ONDCP) informa que organizaciones criminales mexicanas son las principales proveedoras extranjeras de drogas para el mercado de EU. Distribuían en 230 ciudades. Identifica a los cárteles de Tijuana, Golfo, Juárez y Sinaloa.	El narco mexicano distribuye droga en 230 ciudades de EU	2009	internacional	
2009	Inicia Operativo 'Rápido y Furioso'. La ATF (Agencia de Alcohol, Tabaco y Armas de Estados Unidos) permite la compra de 2 mil 500 armas que entran ilegalmente a México. El fin era rastrearlas para hallar a líderes criminales.	Operativo Rápido y Furioso	2009	internacional	
2010	El Departamento de Seguridad Interna de EU identifica al Cartel de Sinaloa como la que tiene mayor control de producción y tráfico de mariguana, metanfetamina y cocaína hacia su territorio.	El Cartel de Sinaloa controla el tráfico de mariguana y coca en EU	2010	internacional	
2011	WikiLeaks da a conocer cables firmados por el embajador Carlos Pascual en los que decía que la estrategia de seguridad del presidente Calderón era deficiente y hablaba de descoordinación entre instituciones.	Wikileaks revela críticas de EU a la estrategia de Calderón	enero de 2011	internacional	
2011	El presidente de EU, Barack Obama, acepta la renuncia del embajador en México, Carlos Pascual, que ya no tenía comunicación con Calderón.	Renuncia el embajador de EU en México, Carlos Pascual	19 de marzo de 2011	internacional	
2011	La Oficina de Política para el Control Nacional de Drogas de Estados Unidos (ONDCP) aumenta a siete las organizaciones mexicanas de tráfico de drogas y las vincula a 33 pandillas que operan en Estados Unidos.	7 cárteles mexicanos operan en EU	2011	internacional	
2012	En Estados Unidos, Mario Villanueva, exgobernador de Quintana Roo, se declara culpable de lavado de dinero para el Cártel de Juárez.	El exgobernador de Quintana Roo se declara culpable de lavado de dinero	2 de agosto de 2012	internacional	FCH
2012	Colorado y Washington se convierten en los dos primeros estados de Estados Unidos en legalizar la posesión y venta de mariguana para uso recreativo.	Colorado y Washington legalizan la mariguana	7 de noviembre de 2012	internacional	FCH
2013	Mario Villanueva, exgobernador de Quintana Roo, es sentenciado a 11 años de prisión.	Sentencian al exgobernador de Quintana Roo	28 de junio de 2013	internacional	
1978	Muerte de Pedro Avilés, fundador de la Organización de Sinaloa, después Cártel de Guadalajara.	Muere el fundador de la Organización de Sinaloa.	15 de septiembre 1978	organizacion-de-sinaloa	
1985	Rafael Caro Quintero huye a Costa Rica. Casi un mes después es detenido.	Caro Quintero huye a Costa Rica	4 de abril de 1985	guadalajara	
1985	Detención de Ernesto Fonseca Carrillo en Puerto Vallarta, Jalisco, Líder de la Organización de Guadalajara.	Detención de 'Don Neto'	7 de abril de 1985	guadalajara	
1989	Captura de Miguel Ángel Félix Gallardo, líder del Cártel de Guadalajara.	Detención de Miguel Ángel Félix Gallardo	8 de abril de 1989	guadalajara	
1989	Detención de Amado Carrillo Fuentes, integrante de la facción de la organización de Guadalajara que se convertiría en el Cártel de Juárez	Detención de Amado Carrillo Fuentes	27 de junio de 1989	guadalajara	
1990	Amado Carrillo Fuentes sale de la cárcel por falta de pruebas.	Liberan a Amado Carrillo Fuentes	9 de junio de 1990	juarez	
1992	El Chapo' y 'El Mayo' preparan una emboscada en Puerto Vallarta contra Ramón Arellano Félix, que logra escapar. Se agrava conflicto entre el Cártel de Sinaloa y el Cártel de Tijuana.	Emboscada contra Ramón Arellano Félix	noviembre de 1992	sinaloa	
1992	El Chapo' y 'El Mayo' preparan una emboscada en Puerto Vallarta contra Ramón Arellano Félix, que logra escapar. Se agrava conflicto entre el Cártel de Sinaloa y el Cártel de Tijuana.	Emboscada contra Ramón Arellano Félix	noviembre de 1992	tijuana	
1993	Detención del líder del Cártel de Sinaloa, Joaquín 'El Chapo' Guzmán en Guatemala.	Detienen al 'Chapo' en Guatemala	9 de junio de 1993	sinaloa	
1993	Policías judiciales matan en Cancún a Rafael Aguilar Guajardo, que fungía como líder del Cártel de Juárez.	Muerte de Rafael Aguilar, líder del Cártel de Juárez	12 de abril de 1993	juarez	
1993	Detención de Rafael Arellano Félix. El mayor de los hermanos Arellano, del Cártel de Tijuana.	Detención de Rafael Arellano Félix	diciembre de 1993	tijuana	
1994	Enfrentamiento entre Francisco Javier Arellano Félix y Héctor 'El Güero' Palma en Tijuana. Uno de los primeros enfrentamientos directos entre el Cártel de Tijuana y el Cártel de Sinaloa.	Se enfrentan los Cárteles de Tijuana y el de Sinaloa	marzo de 1994	tijuana	
1994	Enfrentamiento entre Francisco Javier Arellano Félix y Héctor 'El Güero' Palma en Tijuana. Uno de los primeros enfrentamientos directos entre el Cártel de Tijuana y el Cártel de Sinaloa.	Se enfrentan los Cárteles de Tijuana y el de Sinaloa	marzo de 1994	sinaloa	
1995	Captura de Héctor 'El Güero' Palma, integrante del Cártel de Sinaloa	Detienen al 'Güero' Palma	23 de junio de 1995	sinaloa	
1996	Detención de Juan García Ábrego, líder del Cártel del Golfo.	Detienen a Juan García Ábrego	14 de enero de 1996	golfo	
1997	Muere Amado Carrillo Fuentes, 'El Señor de los Cielos', tras una cirugía plástica en la Ciudad de México.	Muere Amado Carrillo	4 de julio de 1997	juarez	
1998	Detención de José de Jesús y Luis Ignacio Amezcua Contreras, líderes del Cártel de Colima.	Detienen a los líderes del Cártel de Colima	1 de junio de 1998	colima	
1999	Detención de Juan José Quintero Payán, 'Don Juanjo'. Considerado el hombre más importante para el Cártel de Juárez, tras Amado Carrilo Fuentes.	Detienen a Juan José Quintero Payán	29 de octubre de 1999	juarez	
2001	Fuga de Joaquín 'El Chapo' Guzmán del penal de Puente Grande, Jalisco.	Primera fuga del 'Chapo'	19 de enero de 2001	sinaloa	
2001	Fallece Juan Nepomuceno Guerra, presunto fundador del Cártel del Golfo.	Fallece el fundador del Cártel del Golfo	12 de julio de 2001	golfo	
2001	Detención de Arturo Guzmán Loera, 'El Pollo', hermano de 'El Chapo' Guzmán.	Detienen al hermano del 'Chapo' Guzmán	21 de septiembre de 2001	sinaloa	
2002	Muere Ramón Arellano Félix, líder del Cártel de Tijuana, en un enfrentamiento.	Muere Ramón Arellano Félix	10 de febrero de 2002	tijuana	
2002	Benjamín Arellano Félix, líder del Cartel de Tijuana, es detenido en Puebla.	Detienen a Benjamín Arellano Félix	9 de marzo de 2002	tijuana	
2002	Muere Arturo Guzmán Decena o 'Z-1', el encargado de reclutar al brazo armado del Cártel del Golfo, Los Zetas.	Muere el Z-1	21 de noviembre de 2002	golfo	
2003	Captura de Osiel Cárdenas, líder del Cártel del Golfo.	Detienen a Osiel Cárdenas	14 de marzo de 2003	golfo	
2003	Detención de Armando Valencia, líder del Cártel del Milenio.	Detienen a Armando Valencia	14 de agosto de 2003 	milenio	
2004	Asesinan a Rodolfo Carrillo Fuentes, 'El niño de Oro', hermano menor de Vicente Carrillo Fuentes, líder del Cártel de Juárez. Acusan al Cártel de Sinaloa.	Asesinan a Rodolfo Carrillo Fuentes	11 de septiembre de 2004	juarez	
2004	Arresto de Rogelio González Pizaña, 'Z-2'.	Detienen al Z-2	29 de octubre de 2004	golfo	
2004	Asesinato de Arturo Guzmán Loera, 'El Pollo', hermano del 'Chapo'. Lo asesinan en el penal del Altiplano.	Asesinan al hermano del 'Chapo' en el penal del Altiplano	31 de diciembre de 2004	sinaloa	
2006	Arresto de José Francisco Arellano Félix en aguas internacionales, a 25 km de Cabo San Lucas. Era el líder del Cártel de Tijuana.	Detienen a José Francisco Arellano	14 de agosto de 2006	tijuana	VFQ
2006	Abandonan seis cabezas en un bar de Uruapan, Michoacán. La Familia anuncia su lucha contra Los Zetas. Publican un desplegado en el que anuncian que explusarán a ese grupo.	La Familia Michoacana anuncia su rivalidad con los Zetas	7 de septiembre de 2006	zetas	VFQ
2006	Abandonan seis cabezas en un bar de Uruapan, Michoacán. La Familia anuncia su lucha contra Los Zetas. Publican un desplegado en el que anuncian que explusarán a ese grupo.	La Familia Michoacana anuncia su rivalidad con los Zetas	7 de septiembre de 2006	familia-michoacana	VFQ
2006	Extradición a EU de Rafael Arellano Félix.	Extraditan a Rafael Arellano Félix	16 de septiembre de 2006	tijuana	VFQ
2007	Extradición a EU de Osiel Cárdenas, líder del Cártel del Golfo. El capo operaba desde prisión. Con la extradición pierde control de la organización.	Extraditan a Osiel Cárdenas	9 de abril de 2007	golfo	
2007	Extradición de Héctor 'El Güero' Palma.	Extraditan al 'Güero' Palma	9 de abril de 2007	sinaloa	
2007	Ventura Valencia Valencia, del Cártel del Milenio, es asesinado por un grupo rival.	Asesinan a Ventura Valencia, del Cártel del Milenio	17 de abril de 2007	milenio	
2007	Detención de Sandra Ávila Beltrán, sobrina de Miguel Ángel Félix Gallardo.	Detienen a Sandra Ávila Beltrán	29 de septiembre de 2007	sinaloa	
2008	Detención de Alfredo Beltrán Leyva 'El Mochomo'.	Detienen al 'Mochomo'	22 de enero de 2008	beltran-leyva	
2008	Estados Unidos libera a Rafael Arellano Félix, tras cumplir su condena.	EU libera a Rafael Arellano Félix	4 de marzo de 2008	tijuana	
2008	Asesinato de Édgar Guzmán López, hijo de Joaquín 'El Chapo' Guzmán.	Asesinan al hijo del 'Chapo' Guzmán	8 de mayo de 2008	sinaloa	
2008	El Ejército detiene a Eduardo Arellano Félix, uno de los hermanos que forman parte del cártel de Tijuana.	Detienen a Eduardo Arellano Félix	26 de octubre de 2008	tijuana	
2009	Detención de Santiago Meza López, conocido como 'El Pozolero' por disolver a sus víctimas en ácido. Trabajaba para el cártel de los Arellano Félix.	Detienen a Santiago Meza 'El Pozolero'	25 de enero de 2009	tijuana	
2009	Detención de Vicente Zambada Niebla 'El Vicentillo'; hijo de Ismael 'El Mayo' Zambada.	Detienen al hijo del 'Mayo' Zambada	19 de marzo de 2009	sinaloa	
2009	Detención de Luis Valencia Valencia, líder del Cártel del Milenio, que ya estaba aliado con el Cártel de Sinaloa.	Detienen al líder del Cártel del Milenio	28 de octubre de 2009	milenio	
2009	Muere en un enfrentamiento con la Marina, Arturo Beltrán Leyva, 'El Barbas', líder de la organización de los Beltrán Leyva.	Muere Arturo Beltrán Leyva	16 de diciembre de 2009	beltran-leyva	
2010	Asesinato de Sergio Peña Mendoza, 'El Concorde', representante de Los Zetas en Tamaulipas y cercano a Miguel Treviño Morales, el Z-40. Ese grupo criminal acusa al Cártel del Golfo.	Asesinan a Sergio Peña, hombre clave de los Zetas	enero de 2010	zetas	
2010	Detención de Teodoro García Simental, 'El Teo'. Líder de la facción del cártel de los Arellano Félix que se une al Cártel de Sinaloa.	Detienen a Teodoro García Simental	12 de enero de 2010	sinaloa	
2010	Extradición de Vicente Zambada Niebla, 'El Vicentillo', hijo de Ismael 'El Mayo' Zambada.	Extraditan al hijo del 'Mayo' Zambada	18 de febrero de 2010	sinaloa	
