Instituto Nacional para el Federalismo y el Desarrollo Municipal

Base de datos de Presidentas y Presidentes Municipales 

estado,municipio,id_estado,id_municipio,cve_inegi,nombre,ap_paterno,ap_materno,sexo,partido,integrantes,descripcion,pdo_gob_ini,pdo_gob_fin,direccion,pag_web,cve_lada,telefono,total_pob,hombres,mujeres
"Aguascalientes","San Francisco de los Romo","1","11","01011","MARGARITA","GALLEGOS†","SOTO","M","PRI","","PARTIDO REVOLUCIONARIO INSTITUCIONAL ","2021-10-15","2024-10-14","PRESIDENCIA MUNICIPAL FRANCISCO ROMO JIMENEZ # 102, FRACCIONAMIENTO SAN JOSE DE BUENAVISTA, SAN FRANCISCO DE LOS ROMO, AGS. C.P. 20303","http://www.sanfranciscodelosromo.gob.mx","465","9-67-01-24; EXTS. 1601, 1645","61997","30705","31292"
"Baja California","Ensenada","2","1","02001","ARMANDO","AYALA ","ROBLES","H","COAL."," PVEM-PT-MORENA."," PVEM-PT-MORENA.","2021-10-01","2024-09-30","PALACIO MUNICIPAL CARR. TRANSPENINSULAR ENSENADA-LA PAZ 6500-A, EX-EJIDO CHAPULTEPEC, ENSENADA B.C. C.P. 22185","http://www.ensenada.gob.mx","646","1-72-34-00 EXT. 1;1-72-34-01","443807","221307","222500"
"Baja California","Mexicali","2","2","02002","NORMA ALICIA ","BUSTAMANTE ","MARTINEZ","M","MORENA","","MORENA","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALZADA INDEPENDENCIA # 998, CENTRO CIVICO, C.P. 21000, MEXICALI, B.C.","http://www.mexicali.gob.mx","686","5-58-16-02; 5-58-16-03; 5-58-16-04 EXT. 1603","1049792","529248","520544"
"Baja California","Tecate","2","3","02003","EDGAR DARIO ","BENITEZ ","RUIZ","H","MORENA","","MORENA","2021-10-01","2024-09-30","PALACIO MUNICIPAL CALLE ORTIZ RUBIO Y CALLEJON LIBERTAD # 1310, TECATE, B.C. C.P. 21400","http://www.tecate.gob.mx","665","6-54-92-00 EXT. 9207; 6-54-92-06","108440","57130","51310"
"Baja California","Tijuana","2","4","02004","MONSERRAT ","CABALLERO ","RAMIREZ","M","COAL."," PVEM-PT-MORENA."," PVEM-PT-MORENA.","2021-10-01","2024-09-30","PALACIO MUNICIPAL AV. INDEPENDENCIA # 1350, ZONA RIO, C.P. 22010, TIJUANA, B.C.","http://www.tijuana.gob.mx","664","9-73-70-00 EXT. 7023, 7024; 9-73-70-24; 9-73-70-25","1922523","968740","953783"
"Baja California","Playas de Rosarito","2","5","02005","HILDA ARACELI ","BROWN ","FIGUEREDO","M","MORENA","","MORENA","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE JOSE HAROZ AGUILAL R # 200, FRACC. VILLA TURISTICA, PLAYAS DE ROSARITO, B.C. C.P. 22707","http://www.rosarito.gob.mx","661","6-14-96-21 EXT. 2001; 2060","126890","64386","62504"
"Baja California","San QuintÌn","2","6","02006","-","-","-","-","-","-","-","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE 1RA. S/N, FRACCIONAMIENTO CIUDAD SAN QUINTIN, SAN QUINTIN, B.C. C.P. 22930","http://","0","616 5-98-00-27 EXTS. 100, 101 Y 102","117568","59778","57790"
"Baja California","San Felipe","2","7","02007","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Baja California Sur","Comond˙","3","1","03001","ILIANA GUADALUPE ","TALAMANTES ","HIGUERA","M","JHHEBCS","MORENA-PT","JUNTOS HAREMOS HISTORIA EN BAJA CALIFORNIA  SUR","2021-09-25","2024-09-24","PRESIDENCIA MUNICIPAL BLVD. AGUSTIN OLACHEA Y ALVARO OBREGON S/N, COL. CENTRO, COMONDU, B.C.S. C.P. 23600","http://www.comondu.gob.mx","613","1-32-09-08","73021","36804","36217"
"Baja California Sur","MulegÈ","3","2","03002","EDITH ","AGUILAR ","VILLAVICENCIO	","M","UC","PAN-PRI-PRD-PRS-PHBCS","UNIDOS CONTIGO","2021-09-25","2024-09-24","PALACIO MUNICIPAL AV. CARRANZA Y CALLE PLAZA SANTA ROSALIA, B.C.S. CP. 23920","http://","615","(615) 152-00-46","64022","33071","30951"
"Baja California Sur","La Paz","3","3","03003","MILENA PAOLA ","QUIROGA ","ROMERO	","M","JHHEBCS","MORENA-PT","JUNTOS HAREMOS HISTORIA EN BAJA CALIFORNIA  SUR","2021-09-25","2024-09-24","PRESIDENCIA MUNICIPAL BLVR. LUIS DONALDO COLOSIO, COL. DONCELES, C.P. 23080, LA PAZ, B.C.S.","http://www.lapaz.gob.mx","612","1-23-79-00 EXT. 1100","292241","145803","146438"
"Baja California Sur","Los Cabos","3","8","03008","OSCAR ","LEGGS ","CASTRO	","H","JHHEBCS","MORENA-PT","JUNTOS HAREMOS HISTORIA EN BAJA CALIFORNIA  SUR","2021-09-25","2024-09-24","PRESIDENCIA MUNICIPAL CALLE ZARAGOZA Y MANUEL DOBLADO, COL. CENTRO, SAN JOSE DEL CABO, B.C.S. CP. 23400","http://www.loscabos.gob.mx","624","1-46-76-00 EXT. 1002","351111","180944","170167"
"Baja California Sur","Loreto","3","9","03009","PAOLA MARGARITA ","COTA ","DAVIS	","M","UC","PAN-PRI-PRD-PRS-PHBCS","UNIDOS CONTIGO","2021-09-25","2024-09-24","PRESIDENCIA MUNICIPAL FCO. I. MADERO SALVATIERRA Y MAGDALENA DE KINO, LORETO,BCS. CP. 23880","http://www.loreto.gob.ec/loreto/","613","1-35-00-36; 1-35-11-24","18052","9257","8795"
"Campeche","CalkinÌ","4","1","04001","JUANITA DEL ROSARIO","CORTES","MOO","M","COAL.","PAN-PRI-PRD","COALICI”N","2021-10-01","2024-09-30","PALACIO MUNICIPAL CALLE 20 S/N, ZONA CENTRO CALKINI, CAMP. C.P. 24900","http://www.calkini.gob.mx","996","9-61-04-50","59232","29170","30062"
"Campeche","Campeche","4","2","04002","BIBY KAREN","RABELO","DE LA TORRE","M","PMC","","PARTIDO MOVIMIENTO CIUDADANO","2021-10-01","2024-09-30","PALACIO MUNICIPAL CALLE 8 X 63 S/N, CENTRO, CIUDAD AMURALLADA CAMPECHE, CAMP. C.P. 24000","http://www.municipiocampeche.gob.mx/","981","TelOfic. 81 11276; 12 73937","294077","141555","152522"
"Campeche","Carmen","4","3","04003","PABLO","GUTIERREZ","LAZARUS","H","MORENA","","MORENA","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE 22 # 91, COL. CENTRO, CARMEN, CAMP. C.P. 24100","http://www.carmen.gob.mx","938","3-81-28-70","248845","123043","125802"
"Campeche","ChampotÛn","4","4","04004","CLAUDETH","SARRICOLEA","CASTILLEJO","M","MORENA","","MORENA","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL, CALLE 25 S/N, CENTRO, CHAMPOTON, CAMP. CP. 24400","http://www.champoton.gob.mx/transparencia3/index.php/es/","982","TelOfic. 9828280343; 8280067","78170","39030","39140"
"Campeche","Hecelchak·n","4","5","04005","JOSE DOLORES","BRITO","PECH","H","COAL.","PAN-PRI-PRD","COALICI”N","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE 20 S/N, CENTRO, HELCECHAKAN, CAMP. CP. 24800","http://www.hecelchakan.gob.mx","996","Tel.Ofic. 9968270114;8270046; 99682 70698","31917","15713","16204"
"Campeche","HopelchÈn","4","6","04006","EMILIO","LARA","CALDERON","H","COAL.","PAN-PRI-PRD","COALICI”N","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE 20 X 19 # 119, COL. CENTRO, HOPELCHEN, CAMP. C.P. 24600","http://www.ayuntamientohopelchen.com","996","8-22-00-18; 8-22-00-86","42140","21328","20812"
"Campeche","Palizada","4","7","04007","ANGELA DEL CARMEN ","CAMARA ","DAMAS","M","COAL.","PAN-PRI-PRD","COALICI”N","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE MIGUEL HIDALGO # 18, CENTRO, PALIZADA, CAMP. C.P. 24200","http://www.palizada.gob.mx","913","3-65-04-11; 3-65-06-41","8683","4423","4260"
"Campeche","Tenabo","4","8","04008","KARLA DEL ROSARIO","UC","TUZ","M","COAL.","PAN-PRI-PRD","COALICI”N","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE 19 ENTRE 8 Y 10, COL. CENTRO, TENABO, CAMP. C.P. 24700","http://www.https://municipiodetenabo.gob.mx/","996","6-88-00-29","11452","5797","5655"
"Campeche","Esc·rcega","4","9","04009","SILVESTRE ","LEMUS ","OROZCO","H","PMC","","PARTIDO MOVIMIENTO CIUDADANO","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE 29 S/N, COL. CENTRO, ESCARCEGA, CAMP. C.P. 24350","http://www.escarcega.gob.mx","982","8-24-02-11; 8-24-06-59","59923","29468","30455"
"Campeche","Calakmul","4","10","04010","LUIS ENRIQUE ","ALVARADO ","MOO","H","MORENA","","MORENA","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE HALALTUN S/N CALAKMUL, CAMP. CP. 24640","http://www.calakmul.gob.mx","983","Tel.Ofic. 9838716089;9838716111;8716022","31714","16101","15613"
"Campeche","Candelaria","4","11","04011","FRANCISCO JAVIER ","FARIAS ","BAILON","H","COAL.","PAN-PRI-PRD","COALICI”N","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL AV. 1A. DE JULIO ENTRE CALLE 1 Y 17 S/N, COL. CENTRO, CANDELARIA, CAMP. CP. 24300","http://www.candelaria.gob.mx/","982","8-26-03-59; 8-26-01-38","46913","23674","23239"
"Campeche","Seybaplaya","4","12","04012","CINTHYA GELITZI ","VELAZQUEZ ","RIVERA","M","COAL.","PAN-PRI-PRD","COALICI”N","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE 19 S/N X CALLE 16, COL. CENTRO, SEYBAPLAYA, CAMP. C.P. 24460","http://www.https://ayuntamiento.seybaplaya.net/","0","(981) 1-38-65-02","15297","7637","7660"
"Campeche","DzitbalchÈ","4","13","04013","ROBERTO","HERRERA ","MAAS","H","MORENA","","MORENA","2021-10-01","2024-09-30","PRESIDENCIA MUNICIPAL CALLE 25S/N ENTRE 18 Y 20, COL. CENTRO, DZITBALCHE, CAMP. C.P.","http://www.https://dzitbalche.gob.mx/","0","01","0","0","0"
"Coahuila de Zaragoza","Abasolo","5","1","05001","RAMIRO","REYES","RODRIGUEZ","H","MORENA","","MORENA","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE NACIONAL # 402, ABASOLO, COAH. C.P. 25540","http://","866","6-95-10-23","1022","535","487"
"Coahuila de Zaragoza","AcuÒa","5","2","05002","EMILIO ALEJANDRO","DE HOYOS","MONTEMAYOR","H","MORENA","","MORENA","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE LIBRAMIENTO EMILIO MENDOZA, COL. AEROPUERTO, C.P. 26230 - ACU—A, COAH.","http://www.todossomosacuna.com/","877","773 14 58 EXTS. 103 y 104","163058","81943","81115"
"Coahuila de Zaragoza","Allende","5","3","05003","JOSE DE JESUS","DIAZ","GUTIERREZ","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE GUERRERO 601 NTE. COL. CENTRO, ALLENDE, COAH. C.P. 26530","http://","862","6-21-06-21; 6-21-00-64; 6-21-36-19","23056","11446","11610"
"Coahuila de Zaragoza","Arteaga","5","4","05004","RAMIRO","DURAN","GARCIA","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL GENERAL CEPEDA E HIDALGO # 1, ARTEAGA, COAH. C.P. 25350","http://","844","4-83-00-33; 4-83-00-96","29578","14955","14623"
"Coahuila de Zaragoza","Candela","5","5","05005","ARACELIA","JASSO","VAQUERA","M","PAN","","PARTIDO ACCI”N NACIONAL ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL AV. JUAREZ S/N, ZONA CENTRO CANDELA, COAH. CP. 25570","http://","873","7-36-01-21; 7-36-01-22","1643","843","800"
"Coahuila de Zaragoza","CastaÒos","5","6","05006","JUAN ANTONIO","GARZA","GARCIA","H","MORENA","","MORENA","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL HIDALGO NORTE 100, COL. CENTRO, CASTA—OS, C.P. 25870","http://transparenciacastanos.gob.mx","866","6-97-03-64; 6-97-10-30","29128","14596","14532"
"Coahuila de Zaragoza","Cuatro CiÈnegas","5","7","05007","MANUEL HUMBERTO","VILLARREAL","CORTEZ","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE PRESIDENTE CARRANZA S/N, CUATROCIENEGAS, COAH. C.P. 27640","http://","869","6-96-03-39; 6-96-06-50","12715","6365","6350"
"Coahuila de Zaragoza","Escobedo","5","8","05008","JESUS","HUITRON","MALDONADO","H","MORENA","","MORENA","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL EJIDO PRIMERO DE MAYO, CENTRO, ESCOBEDO,COAH. C.P. 25490","http://www.escobedocoahuila.gob.mx","866","6-95-21-54","3047","1529","1518"
"Coahuila de Zaragoza","Francisco I. Madero","5","9","05009","JONATHAN","AVALOS","RODRIGUEZ","H","MORENA","","MORENA","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL PLUTARCO ELIAS CALLES S/N FRANCISCO I. MADERO, COAH. CP. 27900","http://","872","7-73-10-00","59035","29217","29818"
"Coahuila de Zaragoza","Frontera","5","10","05010","ROBERTO CLEMENTE","PI—A","AMAYA","H","MORENA","","MORENA","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE PROGRESO ESQ. CON CUAUHTEMOC # 102, FRONTERA, COAH. C.P. 25600","http://","866","6-49-00-10","82409","41209","41200"
"Coahuila de Zaragoza","General Cepeda","5","11","05011","PABLO","SALAS","AGUIRRE","H","PAN","","PARTIDO ACCI”N NACIONAL ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL HIDALGO # 302 GENERAL CEPEDA, COAH. CP. 25950","http://","842","4-25-02-92; 4-25-01-87; 4-25-01-86; 4-25-00-16; 4-25-01-91","11898","6091","5807"
"Coahuila de Zaragoza","Guerrero","5","12","05012","MARIO","CEDILLO","INFANTE","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE RAUL LOPEZ SANCHEZ # 38, GUERRERO, COAH. C.P. 26640","http://","862","6-26-40-76","1643","883","760"
"Coahuila de Zaragoza","Hidalgo","5","13","05013","MARIO ALBERTO","CRUZ","GUTIERREZ","H","PVEM","","PARTIDO VERDE ECOLOGISTA DE M…XICO ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL MORELOS Y PORFIRIO DIAZ HIDALGO, COAH. CP. 26670","http://","867","7-36-20-75; 7-36-21-01","1735","896","839"
"Coahuila de Zaragoza","JimÈnez","5","14","05014","CLAUDIA MARIBEL","GONZALEZ","ESPINOZA","M","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE HIDALGO NORTE S/N, JIMENEZ, COAH. C.P. 26400","http://","878","7-86-00-07; 7-86-00-69; 7-91-04-23","9502","4857","4645"
"Coahuila de Zaragoza","Ju·rez","5","15","05015","JUAN CARLOS","CALDERON","OROSCO","H","PAN","","PARTIDO ACCI”N NACIONAL ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL AV. LAS FLORES S/N JUAREZ, COAH. CP. 25400","http://","861","6-13-50-90; 6-13-50-91","1584","786","798"
"Coahuila de Zaragoza","Lamadrid","5","16","05016","MAGDALENA","ORTIZ","PIZARRO","M","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL ZARAGOZA Y JUAN A. DE LA FUENTE, LAMADRID, COAH. CP. 27700","http://","869","6-94-19-02; 694 1902","1764","928","836"
"Coahuila de Zaragoza","Matamoros","5","17","05017","MIGUEL ANGEL","RAMIREZ","LOPEZ","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE PABELLON E INDEPENDENCIA, MATAMOROS, COAH. C.P. 27440","http://www.matamoroscoahuila.gob.mx","871","4-55-61-29","118337","58692","59645"
"Coahuila de Zaragoza","Monclova","5","18","05018","MARIO ALBERTO","DAVILA","DELGADO","H","PAN","","PARTIDO ACCI”N NACIONAL ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE ZARAGOZA Y V. CARRANZA, MONCLOVA, COAH. C.P. 25700","http://www.monclova.gob.mx","866","6-49-28-03; 6-49-28-00 EXTS. 103, 403","237951","118058","119893"
"Coahuila de Zaragoza","Morelos","5","19","05019","GERARDO XAVIER ","DE HOYOS ","PERALES","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE JUAREZ # 306, NORTE MORELOS, COAH. C.P. 26500","http://","862","6-24-00-17; 6-24-00-18; 6-24-04-74 EXT. 150","7928","3935","3993"
"Coahuila de Zaragoza","M˙zquiz","5","20","05020","TANIA VANESSA","FLORES","GUERRA","M","MORENA","","MORENA","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL HIDALGO 205 NORTE, CENTRO MUZQUIZ, COAH. CP. 26340","http://","864","616-02-36; 616-19-29; 616-20-74","71627","35856","35771"
"Coahuila de Zaragoza","Nadadores","5","21","05021","MARIA ALEJANDRA","HUERTA","ALEMAN","M","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE HIDALGO # 39, COL. CENTRO, NADADORES, COAH. C.P. 27550","http://","869","6-94-44-44","6539","3243","3296"
"Coahuila de Zaragoza","Nava","5","22","05022","MARIA DEL PILAR","VALENZUELA","GALLARDO","M","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE ZARAGOZA # 105, COL. CENTRO, NAVA, COAH. C.P. 26170","http://www.nava.gob.mx","862","624-52-51","33129","16599","16530"
"Coahuila de Zaragoza","Ocampo","5","23","05023","LAURA MARA","SILVA","FERNANDEZ","M","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL ESCOBEDO Y EMILIO CARRANZA OCAMPO, COAH. CP. 27500","http://ocampocoahuila.gob.mx/","869","6-95-00-80; 6-95-01-75","9642","4992","4650"
"Coahuila de Zaragoza","Parras","5","24","05024","FERNANDO","OROZCO","LARA","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE MADERO Y TREVI—O S/N, CENTRO, PARRAS, COAH. C.P. 27980","http://","842","4-22-00-14 EXT. 0101","44472","22534","21938"
"Coahuila de Zaragoza","Piedras Negras","5","25","05025","NORMA LUCILLE","TREVI—O","GALINDO","M","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE 16 DE SEPTIEMBRE S/N, COL. LAS FUENTES, PIEDRAS NEGRAS, COAH. C.P. 26010","http://","878","7-82-66-66 EXT. 1004; 7-82-66-74","176327","88711","87616"
"Coahuila de Zaragoza","Progreso","5","26","05026","FEDERICO","QUINTANILLA","RIOJAS","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL INDEPENDENCIA NORTE S/N PROGRESO, COAH. CP. 25420","http://","861","6-11-10-99; 6-11-11 49","3239","1634","1605"
"Coahuila de Zaragoza","Ramos Arizpe","5","27","05027","JOSE MARIA","MORALES","PADILLA","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL ALLENDE 281, ZONA CENTRO RAMOS ARIZPE, COAH. CP. 25900","http://www.ramosarizpe.gob.mx","844","1-80-1000","122243","62722","59521"
"Coahuila de Zaragoza","Sabinas","5","28","05028","DIANA GUADALUPE","HARO","MARTINEZ","M","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALLE INDEPENDENCIA # 105, COL. ZONA CENTRO, SABINAS, COAH. C.P. 26700","http://","861","6-18-39-00; ext. 231; 6-18-39-04","64811","32237","32574"
"Coahuila de Zaragoza","Sacramento","5","29","05029","ANDREA WENDOLIN","OVALLE","REYNA","M","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL HIDALGO S/N SACRAMENTO, COAH. CP. 27750","http://","869","6-94-17-42; 6-94-17-78","2471","1242","1229"
"Coahuila de Zaragoza","Saltillo","5","30","05030","JOSE MARIA","FRAUSTRO","SILLER","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL BLVD. FRANCISCO COSS # 745, CENTRO, SALTILLO, COAH. C.P. 25000","http://www.saltillo.gob.mx","844","4-38-26-05 AL 06","879958","437792","442166"
"Coahuila de Zaragoza","San Buenaventura","5","31","05031","HUGO IVAN","LOZANO","SANCHEZ","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL HIDALGO 119, NORTE SAN BUENAVENTURA, COAH. CP. 25500","http://","869","6-94-12-55","24759","12275","12484"
"Coahuila de Zaragoza","San Juan de Sabinas","5","32","05032","MARIO ALBERTO","LOPEZ","GAMEZ","H","MORENA","","MORENA","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL CALZ. SIMPSON S/N SAN JUAN DE SABINAS, COAH. C.P. 26850","http://www.nuevarosita.gob.mx/","861","6-14-32-39; 6-14-73-17; 6-14-00-46","42260","20922","21338"
"Coahuila de Zaragoza","San Pedro","5","33","05033","DAVID","RUIZ","MEJIA","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL AV. JUAREZ Y FCO. I. MADERO SAN PEDRO, COAH. CP. 27800","http://","872","7-72-60-00","101041","49949","51092"
"Coahuila de Zaragoza","Sierra Mojada","5","34","05034","ELIAS","PORTILLO","VASQUEZ","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL AV. 5 DE MAYO S/N, ENTRE ZARAGOZA Y OBREGON, COL. CENTRO C,P. 27600","http://","872","7-75-21-76; 7-75-22-81; 7-75-22-82","6744","3527","3217"
"Coahuila de Zaragoza","TorreÛn","5","35","05035","ROMAN ALBERTO","CEPEDA","GONZALEZ","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL PLAZA MAYOR AV. ALLENDE # 333 PTE., ZONA CENTRO; TORREON, COAH. C.P. 27000","http://www.torreon.gob.mx","871","5-00-70-80; 5-00-70-00 Ext. 1422 y 1420","720848","351753","369095"
"Coahuila de Zaragoza","Viesca","5","36","05036","HILARIO SILVET","ECOBEDO","DE LA PAZ","H","COAL.","PRI-PRD","COALICION ","2022-01-01","2024-12-31","PRESIDENCIA MUNICIPAL AV. INDEPENDENCIA S/N, CENTRO VIESCA, COAH. C.P. 27480","http://","671","7-64-02-09","20305","10230","10075"
